這是一份「[NSL] 新資訊機房搬遷專案 - 技術小組週會」的會議逐字稿：

**時間：** 2025年12月17日
**人物：** Jacqueline Cheng (JC)、Jack、Jia-Yu、Hank、Jason、Johnny (HPE)、Qi-Peng

---

**00:38 JC：** 哈囉，線上可以聽到我的聲音嗎？

**00:44 線上人員：** 可以。

**00:45 JC：** 好，我們再稍微等一下，我們等會議室的主要成員到齊一下。

**(00:46 - 03:06 會議準備與等待成員入座)**

**03:07 JC：** 好，我們現在開始今天的週會 update。我分享一下畫面，等我一下。

**03:19 JC：** 好，我們可以看一下目前的工作進展部分。搬遷主任務這邊是 30%，然後基本服務已經到達 95%，然後網路資安的部分目前是 61%，然後文心搬遷的話這也是比較接近尾聲，現在是有 75% 的進展。

**03:43 JC：** 那我們接下來看一下近兩週主任務的會議，那我們請那個 Jack 這邊幫我們 update 一下。

**03:49 Jack：** 各位長官好，那這兩週主要的會議有四個，那主要分別是在 12 月 5 號、9 號、12 號跟 15 號。那 5 號之前報告過，主要就是針對清冊填寫，另外就是有機櫃圖位填寫的單位的提醒。

**04:07 Jack：** 那 9 號的部分的話是關於應用服務測試計劃討論，這部分就是 IBM 說明相關的一些測試的目標、範圍、時程，以及相關說明的一些內容。

**04:19 Jack：** 那 12 號的部分就是持續做測試計劃討論，那這部分涵蓋的內容就是有前次會議的一些待決定事項的討論。那另外就是有 T 時時間點，還有應用系統清單欄位的說明跟調整的確認。

**04:41 Jack：** 那接下來 15 號這邊跟資安技術資源組這邊是有討論在這個共用服務的這個 T 時，那另外就是有確認實體設備搬遷的這個方法跟範圍。

**05:00 Jack：** 那這邊的話就是目前我們在進行的規劃，相關的規劃，那目前這個是階段三的部分。

**05:16 Jack：** 那主任務分為本週跟下週，那本週主要還是持續進行 Port Mapping 跟 SAN Port 的這個 Mapping。那我稍後還是會再整理一下發給各位再幫忙把一些相關的資訊再填進去，因為現在看起來比較沒有前進。

**05:42 Jack：** 那第二個的話就是機櫃圖的部分，12 月 5 號開會有追蹤進度，請教我人補充。那預計希望是 19 號可以交付給各位組，那交付的時候再請各位再幫忙看一下有沒有其他地方需要做修正。

**06:00 Jack：** 那備份方式檢核表規劃這邊已經有在昨天有交付彙整的檢核表給各位，那裡面我有標註一些黃底的部分，要再請各位再幫忙做一些回覆確認。那回覆完之後我會再 Over 給一份 Final 的這個確認的表單。

**06:22 Jack：** 那另外就是後續有在請廠商並行的部分是零件跟技術資源計劃。那在昨天也是有把相關的一些 Template 給所有的廠商，請他們針對後續在搬遷的時候，關於各設備的零件，還有後續專家資源的這個計劃的評估來做撰寫。

**06:49 Jack：** 那接下來是平台搬遷方法評估，那這部分是 12 月 19 號，希望有一個初版的方法評估的確認。那梯次規劃也是在 19 號希望有一個初版的梯次確認。

**07:06 Jack：** 那後面就是測試計劃討論，那這部分希望是在 12 月 26 號可以交付初版的測試的計劃。那各討論下面都有接著相關討論的時間，這讓長官再做一個參考。

**07:25 Jack：** 那下週主要還是會是在 Port Mapping 跟 SAN 的一個確認。另外就是相關零件跟技術資源的這個計劃的評估。那另外就是平台梯次跟測試計劃後續的討論。以上報告。

**07:47 JC：** 那那個最後三項的這個進度，之前好像也都是掛 60%？

**07:54 Jack：** 平台梯次跟測試？

**07:56 JC：** 對。

**07:57 Jack：** 這個我再跟 Tony 確認一下，我再做一些更新。

**08:05 JC：** 上週有提到這個平台搬遷方法評估的部分，有再提供 Detail 哪些平台已經做完了給資安這邊嗎？

**08:15 Jack：** 那個會被問就是總共有多少平台要完成多少，要看沒完成的部分。

**08:22 JC：** OK。好，這個資料再麻煩再提供一下。

**08:31 JC：** 好，那我們再往下看。子任務一的部分我們請嘉裕哥幫我們 update 一下。

**08:37 嘉裕：** DCIM 的部分，目前資料庫、頁面跟資料庫這些東西可以在實作中。只是因為現在是空的，沒有資料填進去，也沒有後端的那個連接的部分。但是原則上它那個儲存程序是寫好的。那今天早上有經過那個驗收，我們這邊做一個驗收確認。

**09:03 嘉裕：** 那還有一個備用機，那因為它開發的時候是因為那個它沒辦法接到機房裡面去做測試的部署，所以這備用機其實是放在原廠那邊去做。在這段整個完全完成的開發，在整個完成之前的這個備用機原廠會置放在原廠那邊的地方。那今天也有驗收完，第四期也大概驗收完。

**09:23 嘉裕：** 那 Prototype 的部分的話，它的 PFMS 的那個資產管理的客戶端界面，它已經給了那個一個算是初版。那現在是有界面，但是它一樣是因為它 PFMS 的那個 Server 端還沒有建起來，所以現在只能做 Preview 而已。但是它真的沒有，可以操作、可以 Preview，但它不會有真正的那個資料寫入寫出儲存的功能。那下週一樣就是一樣，之後的大概所有任務大概都會希望再做更新跟資產管理系統撰寫。

**09:56 JC：** 好。那我問一下，目前四方機房的管理有，就是已經上線一段時間了嘛，目前的管理還 OK 嗎？有沒有什麼需要調整？

**10:06 嘉裕：** 現在就是做那個目前的做法是一樣。好，不過提醒一下，就是可能要跟你們的廠商，其他人要進機房跟廠商進去的時候，麻煩因為線上，因為如果你們有進設備進去的話，它進出會比較頻繁。那麻煩你們到那個樓上三樓的時候，四方給你們換證之後，從四方拿到那一個那個 Badge，那四方有一個來賓證那個證件，麻煩交給現場的人員。

**10:36 嘉裕：** 請請廠商先給他一下，因為怕因為現在那個你們進機房比較頻繁，然後又沒有辦法做刷卡的動作，所以那個動作是留下來之後強迫你們一定要記住去寫進出登記簿。所以麻煩跟你們廠商一定要去跟現場的人員麻煩換證管理，進出要寫好，不要漏掉。

**10:58 JC：** 好，再請大家幫忙注意一下。

**11:02 JC：** 好，那我們往下看，子任務二網路的部分，我們請 Hank 幫忙一下。

**11:06 Hank：** 那本週一樣就是還在做整合測試的作業中。那網路切換計劃報告上禮拜也有跟 Benny 部長那邊報告過，那有依照他的建議做調整，那有請他們一看是這禮拜四的時候提供版本出來，然後會再跟 Benny 約時間去做報告。

**11:25 Hank：** 那這禮拜額外還有再做就是他們針對聯外線路的場勘跟驗證的作業，包含說我們目前的所有對外的線路。那下禮拜的作業的話會針對 Intranet 區塊去做整合測試，包含聯外線路整個的彙整的盤點的結果。那預計應該下禮拜可能整個測試應該就會做完，先告一段落。

**11:51 JC：** 所以這個整合測試的進度 43% 是下禮拜就會變 100% 嗎？

**11:57 Hank：** 還不會到那麼快，就下禮拜完再過一下下吧。因為其實這禮拜就一直在加緊去做整合測試中，就包含今天、明天、可能後天他們也都會進機房做測試。

**12:12 JC：** 嗯，OK。那我們這個測試是規劃在 1 月 16 號這邊是要把報告書做出來？

**12:17 Hank：** 對。

**12:19 JC：** OK，好。

**12:23 JC：** 好，那我們往下看網路、資安的部分，那個請 Jason。

**12:32 Jason：** 欸，聽得到嗎？

**12:34 JC：** 可以可以，請說。

**12:36 Jason：** 哦，好。那我們目前就是整合測試進度的部分大概到 43%，那其他的都完成了。那目前我們有請中華就是依照我們的需求去幫我們調整一下那個報告結果的內容，就是做一些呈現上的調整。那其餘的部分目前應該都 On Schedule 這樣。以上，謝謝。

**12:59 JC：** 好，謝謝。

**13:03 JC：** 那我們接下來看儲存的部分。Jack，謝謝。

**13:07 Jack：** 儲存的部分，目前光纖接線表的部分就是等 Johnny 這邊再提供 WWN 跟 LUN。

**13:16 JC：** 欸，下週不是 Johnny 說可以提供 LUN 的資訊是不是？還是那個 WWN？

**13:24 Jack：** 有啊。

**13:25 JC：** 有提供了嗎？

**13:26 Jack：** 他說他會給，我不知道他填完了沒。他應該是還沒填完啦。Johnny 有在線上嗎？

**13:36 Johnny：** 有。WWN 應該，你是說那個 OS 部分還是 DBA 的部分？DB 的部分？

**13:46 Jack：** 但是這是四方的喔。

**13:48 Johnny：** 嗯哼。

**13:49 Jack：** 對啊，你們應該沒有，主機都沒到怎麼會有 WWN？

**13:54 Johnny：** 就是機架機的環境已經有了。

**13:58 Jack：** 這個要 1 月才有。

**14:01 Johnny：** 你們只能先提供 LUN 啦，只是說 LUN 你們還沒提供吧？

**14:06 Johnny：** Yeah，還沒。LUN 的規劃已經，那個誰，那個不是幼安不是已經到就，對啦，到就，只是要再整理成表。只是沒有 WWN 先提供這個給你也沒有意義，等主機到我們再一起做這樣。這已經被，已經準備好了啦，就是按照之前的規劃嘛，那現在就是等主機來了之後再給你。

**14:31 JC：** 好，所以這是 1 月再一起給是不是？

**14:35 Johnny：** 差不多。那就是有主機到我們可以先拿到資訊我們就可以先寫了，但是要整個完成應該是差不多 1 月底那邊吧。

**14:47 JC：** 好，好。那 Jack 你就稍微把它，1 月底。

**14:52 Jack：** 對對對。我會再加一個主機端 1 月會提供。

**15:02 Jack：** 好。然後 IP 的部分目前已經有申請下來，那現在也是在把那個 IP 回填回有一個網路設定的表格。那我預計這週填完之後會給網路這邊可以開始先做設定。

**15:23 Jack：** 然後防火牆的部分目前整理中，看這週可不可以提出申請。然後接線表完成。然後進機房的申請文件先準備好了。

**15:37 Jack：** 那現在 Kick-off 的簡報檔目前準備 V3 版，那如果給 Eric 看沒問題的話就會約時間做報告。

**15:50 JC：** Kick-off 有安排什麼什麼日期開始？什麼 Kick-off 的 Meeting 日期有稍微定下來了嗎？

**15:57 Jack：** 還沒有。我這週跟 Eric 確認一下。

**16:04 JC：** OK。

